Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P13B,/,1007,P13B,,,PHBB,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208281063,,,0D0670D8-FBD2-42DB-818A-69C6C58F258B,CNCHYNS945613
16DRGJFG652P13B,/,2007,P13B,,,PHBB,GJ FG    652,7,SS6505BtGT,,,16RC000790,MIXL:GO2000997,PHGS,Bt11;GA21B,,GO208281049,,,0E8BB112-898D-4E56-9C3B-F3FECD26C22B,CNCHYNS945599
16DRGJFG652P10A,/,1008,P10A,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208281034,,,7055CCCA-4A2B-41F1-A00C-2D1B1BEB1DE5,CNCHYNS945565
16DRGJFG652P10A,/,2008,P10A,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208281020,,,5601D3AB-A1A6-445C-87E9-696EF1A790B8,CNCHYNS945606
16DRGJFG652P10C,/,2008,P10C,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208280964,,,A20B0C53-A665-4418-9292-8B212E3EC3D7,CNCHYNS945663
16DRGJFG652P10C,/,1008,P10C,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208280978,,,199C4E18-DC36-4B31-ACA8-0319E15312DB,CNCHYNS945617
16DRGJFG652P11D,/,1008,P11D,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208281006,,,7D33A643-E5FD-4EDC-91C1-1D0FB517CEBB,CNCHYNS945647
16DRGJFG652P11D,/,2008,P11D,,,PHGS,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208280992,,,B0348661-A4E1-4918-A876-3BAB10FEB04F,CNCHYNS945564
16DRGJFG652P13B,/,2008,P13B,,,PHBB,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208281048,,,77E2381F-8A9A-4ED6-AC6A-E4688B713551,CNCHYNS945615
16DRGJFG652P13B,/,1008,P13B,,,PHBB,GJ FG    652,8,SS6525BtGT,,,16RC000791,MIXL:GO2000998,PHGS,Bt11;GA21B,,GO208281062,,,73511E17-4B0A-4D20-A28A-FF8B30BE7C80,CNCHYNS945655
16DRGJFG652P10A,/,1006,P10A,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208281036,,,E5CAFFB0-009C-4539-A6AF-6FCF808024C9,CNCHYNS945574
16DRGJFG652P10A,/,2006,P10A,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208281022,,,295CB381-79C7-4BEF-9B05-6A4D841467E5,CNCHYNS945547
16DRGJFG652P10C,/,2006,P10C,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208280966,,,050905BD-633E-4F89-9B40-CDE6021854F0,CNCHYNS945578
16DRGJFG652P10C,/,1006,P10C,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208280980,,,D10D598F-6105-432E-97B3-596C62760343,CNCHYNS945551
16DRGJFG652P11D,/,1006,P11D,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208281008,,,997EDD4F-1D85-42EE-814B-FEF0D0A08A93,CNCHYNS945665
16DRGJFG652P11D,/,2006,P11D,,,PHGS,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208280994,,,74428CDB-F6BD-47FA-97AB-08E261133897,CNCHYNS945668
16DRGJFG652P13B,/,2006,P13B,,,PHBB,GJ FG    652,6,SS6575BGT,,,16RC000792,MIXL:GO2000999,PHGS,Bt11;GA21B;TC1507,,GO208281050,,,87B154B4-FE5A-4D51-BF80-25C42C2F6A8F,CNCHYNS945590
